# wave,flux
3.800071128611080894e+03,1.416847075364751358e-16
3.800269162889676863e+03,1.395405085882226761e-16
3.800467197168271923e+03,1.395381859327521437e-16
3.800665231446867892e+03,1.395358627991718261e-16
3.800863265725463862e+03,1.395335391873829430e-16
3.801061300004059831e+03,1.416729135763669920e-16
3.801259334282655800e+03,1.416705533275010298e-16
3.801457368561251315e+03,1.395265654817858262e-16
3.801655402839846829e+03,1.392131714446252175e-16
3.801853437128345377e+03,1.392030883948770169e-16
3.802051471406940891e+03,1.392007672281074373e-16
3.802249505685536860e+03,1.385424311949889426e-16
3.802447539964132829e+03,1.384417004634636230e-16
3.802645574242728799e+03,1.384393904512019357e-16
3.802843608521323858e+03,1.385354962314805054e-16
3.803042632973640139e+03,1.385331720610259006e-16
3.803240667252236108e+03,1.385308589764430386e-16
3.803438701530832077e+03,1.385285454157664979e-16
3.803636735819330170e+03,1.385262313787900654e-16
3.803834770097926139e+03,1.390919772019753235e-16
3.804032804376521653e+03,1.385216018761561626e-16
3.804230838655117623e+03,1.390873277579043132e-16
3.804428872933713137e+03,1.391728642967903117e-16
3.804626907212309106e+03,1.391705369091563246e-16
3.804824941490905076e+03,1.391682090425483798e-16
3.805022975779403168e+03,1.391736408531421105e-16
3.805221010057999138e+03,1.391713118984649505e-16
3.805419044336594197e+03,1.393859786144166689e-16
3.805617078615191076e+03,1.396868945606497612e-16
3.805815112893786136e+03,1.396845554563040202e-16
3.806013147172382105e+03,1.393789765353409199e-16
3.806211181460880653e+03,1.391596599343392259e-16
3.806409215739476167e+03,1.391573281028199086e-16
3.806607250018072136e+03,1.393719701330131159e-16
3.806805284296668106e+03,1.393696337045230085e-16
3.807003318575263165e+03,1.391503297293259898e-16
3.807201352853860044e+03,1.391479959782425151e-16
3.807399387142357227e+03,1.391379031506496020e-16
3.807597421420953651e+03,1.391433270355936372e-16
3.807795455699549166e+03,1.393579443501199787e-16
3.807993489978145135e+03,1.393556050363312236e-16
3.808191524256740649e+03,1.391363200196825487e-16
3.808390548709056930e+03,1.391339717024334274e-16
3.808588582997555022e+03,1.390360457202936176e-16
3.808786617276150992e+03,1.391292969900221402e-16
3.808984651554746506e+03,1.391269589128262255e-16
3.809182685833343385e+03,1.393415473340833770e-16
3.809380720111937990e+03,1.393392046481149433e-16
3.809578754400436992e+03,1.393368614803271059e-16
3.809776788679032052e+03,1.393345178308794366e-16
3.809974822957628021e+03,1.396353112084783488e-16
3.810172857236223990e+03,1.396329614942051039e-16
3.810370891514819959e+03,1.396306112968844701e-16
3.810568925803317597e+03,1.396282606163259128e-16
3.810766960081913567e+03,1.396259094526919867e-16
3.810964994360509536e+03,1.396235578057932418e-16
3.811163028639105050e+03,1.396212056755581631e-16
3.811361062927604053e+03,1.396188530617981881e-16
3.811559097206199112e+03,1.403509541565629397e-16
3.811757131484794627e+03,1.407263486689307002e-16
3.811955165763391051e+03,1.423954819594831637e-16
3.812153200041986565e+03,1.443897174433340671e-16
3.812351234330485113e+03,1.443872817743152290e-16
3.812549268609080627e+03,1.443848456050297954e-16
3.812747302887676597e+03,1.423858730194943020e-16
3.812945337166272111e+03,1.423834695506835882e-16
3.813143371454770204e+03,1.423810655880792031e-16
3.813341405733366173e+03,1.420306521254175524e-16
3.813539440011962142e+03,1.408083035180866026e-16
3.813738464464277968e+03,1.408059126686867971e-16
3.813936498742873937e+03,1.420234414306006176e-16
3.814134533031372030e+03,1.420210408780884183e-16
3.814332567309967999e+03,1.407987728698530615e-16
3.814530601588563968e+03,1.407963919596504687e-16
3.814728635867159937e+03,1.420138362634894611e-16
3.814926670155657575e+03,1.423593956559531963e-16
3.815124704434253545e+03,1.423569867506550948e-16
3.815322738712849514e+03,1.443506744386364188e-16
3.815520773001347152e+03,1.443482307528311545e-16
3.815718807279944031e+03,1.443457865657079157e-16
3.815916841558539090e+03,1.423473461848919768e-16
3.816114875837135060e+03,1.443408966868963940e-16
3.816312910125633152e+03,1.443384509949648215e-16
3.816510944404229122e+03,1.443360048014734393e-16
3.816708978682824636e+03,1.448883509509344981e-16
3.816907012971323184e+03,1.455299158734089815e-16
3.817105047249919153e+03,1.455274478440879491e-16
3.817303081528514213e+03,1.455249793086823489e-16
3.817501115807111091e+03,1.456559054134499452e-16
3.817699150095608729e+03,1.456534336018354626e-16
3.817897184374204699e+03,1.455175706652611084e-16
3.818095218652800213e+03,1.455151001049463478e-16
3.818293252941298306e+03,1.455126290381407067e-16
3.818491287219894275e+03,1.453005405657215804e-16
3.818689321498489790e+03,1.452980720473327206e-16
3.818887355786987882e+03,1.448613005928644086e-16
3.819085390065583852e+03,1.448588384444811609e-16
3.819284414517900132e+03,1.448563634771427159e-16
3.819482448796496101e+03,1.452881805611024120e-16
3.819680483084994194e+03,1.456286752221714610e-16
3.819878517363590163e+03,1.456261978312269968e-16
3.820076551642185677e+03,1.456237199329740964e-16
3.820274585930684225e+03,1.489616095543360290e-16
3.820472620209280194e+03,1.490956940568423223e-16
3.820670654487876163e+03,1.499717325136666040e-16
3.820868688776373801e+03,1.525563025853205411e-16
3.821066723054969771e+03,1.499666237832820078e-16
3.821264757333564830e+03,1.499640686339997613e-16
3.821462791622063833e+03,1.525485049003530200e-16
3.821660825900659802e+03,1.525984589501157062e-16
3.821858860179255316e+03,1.511051458053592561e-16
3.822056894467753864e+03,1.499538428077927184e-16
3.822254928746348924e+03,1.499512850438622602e-16
3.822452963024944893e+03,1.510974137318977151e-16
3.822650997313442986e+03,1.525646344637949840e-16
3.822849031592039864e+03,1.525828406462189410e-16
3.823047065870634924e+03,1.549774312758272073e-16
3.823245100159133472e+03,1.563453325662536602e-16
3.823443134437728986e+03,1.563426622363126975e-16
3.823641168726227988e+03,1.563399913605407553e-16
3.823839203004823048e+03,1.563373199391606623e-16
3.824037237283419927e+03,1.549641939637219848e-16
3.824235271571917565e+03,1.549615448782629856e-16
3.824433305850513534e+03,1.549588952518506078e-16
3.824632330302828905e+03,1.549562318320821167e-16
3.824830364591327907e+03,1.549535811205348151e-16
3.825028398869923421e+03,1.533040187700491587e-16
3.825226433148518936e+03,1.525515334732371038e-16
3.825424467437017483e+03,1.525489221643431169e-16
3.825622501715612998e+03,1.525463103226247413e-16
3.825820536004112000e+03,1.525436979477830233e-16
3.826018570282707060e+03,1.525410850400417774e-16
3.826216604561303029e+03,1.525384715992336174e-16
3.826414638849801122e+03,1.532856422589010999e-16
3.826612673128396636e+03,1.532830149003334125e-16
3.826810707416895184e+03,1.525306280777855367e-16
3.827008741695490244e+03,1.525072097735626014e-16
3.827206775974087122e+03,1.525045940236867854e-16
3.827404810262585215e+03,1.525019777404759905e-16
3.827602844541181184e+03,1.524993609241587150e-16
3.827800878829679277e+03,1.524967435744406154e-16
3.827998913108275246e+03,1.525149266376076072e-16
3.828196947386871216e+03,1.524915072753283600e-16
3.828394981675368854e+03,1.525096885572636242e-16
3.828593015953964823e+03,1.526588158514611014e-16
3.828791050242463825e+03,1.532540785855379143e-16
3.828989084521058885e+03,1.548977911025429798e-16
3.829187118809556978e+03,1.548951284759484169e-16
3.829385153088152947e+03,1.548924653075187016e-16
3.829583187366748916e+03,1.548898015970923392e-16
3.829781221655247009e+03,1.532409042717147238e-16
3.829980246107562834e+03,1.526404306347825879e-16
3.830178280396060927e+03,1.524860776638361598e-16
3.830376314674656896e+03,1.524834530183719485e-16
3.830574348953252866e+03,1.524808278391624026e-16
3.830772383241750958e+03,1.524574061887150627e-16
3.830970417520347382e+03,1.510742113345842188e-16
3.831168451808845475e+03,1.524521538776575136e-16
3.831366486087441444e+03,1.524495269215526084e-16
3.831564520375939992e+03,1.524468994315244559e-16
3.831762554654535961e+03,1.510637976065608003e-16
3.831960588943033599e+03,1.510611928520401151e-16
3.832158623221629568e+03,1.510585875686268225e-16
3.832356657510128116e+03,1.510559817560398661e-16
3.832554691788724085e+03,1.510533754145196267e-16
3.832752726067319145e+03,1.510507685439163439e-16
3.832950760355817692e+03,1.510481611440804300e-16
3.833148794634413207e+03,1.493012268837276428e-16
3.833346828922912209e+03,1.492986485490090409e-16
3.833544863201507269e+03,1.510403357700370065e-16
3.833742897490005817e+03,1.510377262536114300e-16
3.833940931768600876e+03,1.513435345702629086e-16
3.834138966057099879e+03,1.525851572316293126e-16
3.834337000335695848e+03,1.531801164539063544e-16
3.834535034624193941e+03,1.531774676386417555e-16
3.834733068902789910e+03,1.550532904285425231e-16
3.834931103191288003e+03,1.550506080425582067e-16
3.835129137469883972e+03,1.555288606975118410e-16
3.835328161932101921e+03,1.557818011271951487e-16
3.835526196210697890e+03,1.555234630963753473e-16
3.835724230499195983e+03,1.555207702068915373e-16
3.835922264777791952e+03,1.568717884820636365e-16
3.836120299066290045e+03,1.575338986674362213e-16
3.836318333344887378e+03,1.568663530731172729e-16
3.836516367633385016e+03,1.568636345437129524e-16
3.836714401911980985e+03,1.568609154645223531e-16
3.836912436200479078e+03,1.568581958352639997e-16
3.837110470479074593e+03,1.568554756562010018e-16
3.837308504767572686e+03,1.568527549270528209e-16
3.837506539046168655e+03,1.575147805805252269e-16
3.837704573334666293e+03,1.576684877167742262e-16
3.837902607613263172e+03,1.576657510848232322e-16
3.838100641901760810e+03,1.576630138998781799e-16
3.838298676180356779e+03,1.582706484872151854e-16
3.838496710468854872e+03,1.582678995954099454e-16
3.838694744747450841e+03,1.576547990281169124e-16
3.838892779035948934e+03,1.574956354311087548e-16
3.839090813324447936e+03,1.574928982004084387e-16
3.839288847603042996e+03,1.574901604175084966e-16
3.839486881891541543e+03,1.574874220821322600e-16
3.839684916170137058e+03,1.574846831945512943e-16
3.839882950458636060e+03,1.574819437544897448e-16
3.840080984737231120e+03,1.574792037622203601e-16
3.840279019025729667e+03,1.574764632174682222e-16
3.840477053304325182e+03,1.569104148162030945e-16
3.840675087592824184e+03,1.568064183846930662e-16
3.840874112045140009e+03,1.568036741011748013e-16
3.841072146333637647e+03,1.568009429193157175e-16
3.841270180612233617e+03,1.553975285721889987e-16
3.841468214900732164e+03,1.549617573982475057e-16
