# wave,flux
3.800078059810000013e+03,1.080061551859999997e-17
3.800276094089999788e+03,1.113677888929999983e-17
3.800474128360000122e+03,1.113659351590000059e-17
3.800672162639999897e+03,1.113640810430000057e-17
3.800870196920000126e+03,1.113622265449999979e-17
3.801068231199999900e+03,1.113603716660000021e-17
3.801266265490000023e+03,1.113585164049999987e-17
3.801464299769999798e+03,1.113566607620000030e-17
3.801662334050000027e+03,1.113548047369999995e-17
3.801860368319999907e+03,1.113529483300000038e-17
3.802058402600000136e+03,1.079881647329999994e-17
3.802256436879999910e+03,1.043482128080000030e-17
3.802454471160000139e+03,1.042264820499999998e-17
3.802652505439999914e+03,1.040027855829999997e-17
3.802850539730000037e+03,1.040010498120000066e-17
3.803048574009999811e+03,1.039993136840000094e-17
3.803246608280000146e+03,1.039975771990000080e-17
3.803444642559999920e+03,1.039958403559999981e-17
3.803642676840000149e+03,1.039941031559999993e-17
3.803840711119999924e+03,1.042143007100000045e-17
3.804038745400000153e+03,1.043325330540000028e-17
3.804236779689999821e+03,1.042108171030000026e-17
3.804434813970000050e+03,1.039871507790000089e-17
3.804632848239999930e+03,1.042073320620000036e-17
3.804830882520000159e+03,1.058022964050000103e-17
3.805028916799999934e+03,1.042038455860000030e-17
3.805227941250000185e+03,1.039801839760000033e-17
3.805425975529999960e+03,1.039784435540000043e-17
3.805624009810000189e+03,1.032284181730000057e-17
3.805822044099999857e+03,1.032266895649999976e-17
3.806020078380000086e+03,1.032249606010000053e-17
3.806218112659999861e+03,1.032232312809999979e-17
3.806416146940000090e+03,1.039697360690000118e-17
3.806614181209999970e+03,1.032197715740000038e-17
3.806812215490000199e+03,1.017284336929999974e-17
3.807010249779999867e+03,1.017267279270000119e-17
3.807208284060000096e+03,1.017250218100000029e-17
3.807406318339999871e+03,1.017233153420000010e-17
3.807604352620000100e+03,1.012281822160000027e-17
3.807802386899999874e+03,9.906668583300000513e-18
3.808000421180000103e+03,9.847813705760000895e-18
3.808198455459999877e+03,9.757894007080001335e-18
3.808396489740000106e+03,9.748236551370001380e-18
3.808594524019999881e+03,9.117389826620000243e-18
3.808792558300000110e+03,9.747909021690000787e-18
3.808990592589999778e+03,9.747745206320000540e-18
3.809188626870000007e+03,9.747581357270001487e-18
3.809386661139999887e+03,9.747417474530001117e-18
3.809584695420000116e+03,9.747253558100000972e-18
3.809782729699999891e+03,9.116470242210000359e-18
3.809980763990000014e+03,9.116316867810001065e-18
3.810178798269999788e+03,9.116163461900000617e-18
3.810376832550000017e+03,9.116010024450000732e-18
3.810575856999999814e+03,9.115855788030000281e-18
3.810773891280000043e+03,9.115702287330000453e-18
3.810971925559999818e+03,8.900816793110000812e-18
3.811169959849999941e+03,8.704068274950000520e-18
3.811367994119999821e+03,8.900516869580001520e-18
3.811566028400000050e+03,8.900366861590000003e-18
3.811764062679999824e+03,8.900216822780001024e-18
3.811962096969999948e+03,8.900066753120000136e-18
3.812160131250000177e+03,8.703334651180000034e-18
3.812358165529999951e+03,8.899766521320000956e-18
3.812556199810000180e+03,8.703040990600000326e-18
3.812754234089999954e+03,8.588766512170000888e-18
3.812952268370000183e+03,8.398565919530000591e-18
3.813150302649999958e+03,8.115431542770001421e-18
3.813348336930000187e+03,8.115294492580001151e-18
3.813546371219999855e+03,8.398140431760001359e-18
3.813744405500000084e+03,8.115020307760001139e-18
3.813942439779999859e+03,8.114883173120000428e-18
3.814140474050000194e+03,8.114746010330000596e-18
3.814338508339999862e+03,8.114608819360000277e-18
3.814536542620000091e+03,8.397430702800000433e-18
3.814734576899999865e+03,8.397288669570000540e-18
3.814932611180000094e+03,7.685715449450001195e-18
3.815130645470000218e+03,7.685585396320000737e-18
3.815328679749999992e+03,7.830543718629999963e-18
3.815526714019999872e+03,8.396720245070000584e-18
3.815724748300000101e+03,8.396578066030000102e-18
3.815923772759999792e+03,8.283908560510000183e-18
3.816121807040000022e+03,8.396292909170000036e-18
3.816319841319999796e+03,8.286502496130000262e-18
3.816517875600000025e+03,8.286362058530001065e-18
3.816715909890000148e+03,8.395866021490000656e-18
3.816913944169999922e+03,8.395723667220000660e-18
3.817111978450000151e+03,8.395581283760000914e-18
3.817310012729999926e+03,8.699506904720001152e-18
3.817508047010000155e+03,8.699359303860000967e-18
3.817706081289999929e+03,8.728303445400000696e-18
3.817904115570000158e+03,8.895549552010001491e-18
3.818102149859999827e+03,9.109999770830001420e-18
3.818300184140000056e+03,9.354865472160000195e-18
3.818498218419999830e+03,9.433956977300000739e-18
3.818696252700000059e+03,9.539347437350000113e-18
3.818894286979999833e+03,9.539185335660001304e-18
3.819092321260000062e+03,9.539023200760001470e-18
3.819290355550000186e+03,9.433315679320001265e-18
3.819488389829999960e+03,9.433155272710001115e-18
3.819686424110000189e+03,9.353752514380000175e-18
3.819884458399999858e+03,9.353593390100000293e-18
3.820082492670000192e+03,9.432673855740001184e-18
3.820280526949999967e+03,9.353275043820000726e-18
3.820478561240000090e+03,9.353115821780000246e-18
3.820676595519999864e+03,9.432192142990000639e-18
3.820874629800000093e+03,9.537562491590001473e-18
3.821072664090000217e+03,9.637442272900000974e-18
3.821271688540000014e+03,9.965338957750001088e-18
3.821469722819999788e+03,1.082783970880000023e-17
3.821667757100000017e+03,1.082765513950000100e-17
3.821865791390000140e+03,9.964829364730000563e-18
3.822063825660000020e+03,9.636620090150000690e-18
3.822261859939999795e+03,9.636455716970000185e-18
3.822459894229999918e+03,9.636291310160001097e-18
3.822657928510000147e+03,9.636126869740000740e-18
3.822855962789999921e+03,9.635962395710000656e-18
3.823053997080000045e+03,9.963809240270001437e-18
3.823252031359999819e+03,9.963639097850000958e-18
3.823450065640000048e+03,9.963468920650001392e-18
3.823648099919999822e+03,9.963298708680000626e-18
3.823846134200000051e+03,9.963128461930000773e-18
3.824044168490000175e+03,9.962958180390000864e-18
3.824242202769999949e+03,9.962787864070000328e-18
3.824440237050000178e+03,1.012889129829999968e-17
3.824638271339999847e+03,1.012871806870000069e-17
3.824836305610000181e+03,1.012854480370000108e-17
3.825034339899999850e+03,1.012837150339999976e-17
3.825232374180000079e+03,1.097086870219999973e-17
3.825430408459999853e+03,1.097068090660000102e-17
3.825628442749999977e+03,1.097049307260000064e-17
3.825826477030000206e+03,1.097030520030000058e-17
