#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3267.8570492046783	0.0	0.0	3.378897876475001e-17
3268.055083423859	0.0	0.0	3.571753836312e-17
3268.253117652942	0.0	0.0	3.407707582533999e-17
3268.4511518721224	0.0	0.0	3.461320668663001e-17
3268.6491861012055	0.0	0.0	3.578385389754001e-17
3268.847220320386	0.0	0.0	3.621070041318001e-17
3269.0452545494695	0.0	0.0	3.522439099344001e-17
3269.24328876865	0.0	0.0	3.326588068344999e-17
3269.441322997733	0.0	0.0	3.404906301473999e-17
3269.639357216914	0.0	0.0	3.57525944463e-17
3269.8373914459967	0.0	0.0	3.357539792831001e-17
3270.0354256651776	0.0	0.0	3.347818063384e-17
3270.2334598942607	0.0	0.0	3.390649940799001e-17
3270.431494113441	0.0	0.0	3.41381297267e-17
3270.6295283425243	0.0	0.0	3.4433899801e-17
3270.827562561705	0.0	0.0	3.462150451888999e-17
3271.0255967907883	0.0	0.0	3.5641244667e-17
3271.223631009969	0.0	0.0	3.500078498497e-17
3271.421665239052	0.0	0.0	3.47587310125e-17
3271.6206896319527	0.0	0.0	3.492329230935e-17
3271.818723861036	0.0	0.0	3.388864472115e-17
3272.0167580802163	3.9628123176531395e-20	3.9628123176531395e-20	3.317656960512e-17
3272.2147923092994	1.1919529975281713e-19	1.1919529975281713e-19	3.432756663923999e-17
3272.41282652848	6.019140303021252e-18	6.019140303021252e-18	3.43245984894e-17
3272.610860757563	6.0189829197236815e-18	6.0189829197236815e-18	3.497803633742e-17
3272.808894976744	9.581181461568815e-18	9.581181461568815e-18	3.473434974832001e-17
3273.0069292058265	1.0025831074035389e-17	1.0025831074035389e-17	3.501871802552001e-17
3273.2049634250075	9.58068117195426e-18	9.58068117195426e-18	3.484385084016e-17
3273.402997654091	9.580431260195529e-18	9.580431260195529e-18	3.494195414681999e-17
3273.6010318732715	9.580181503721118e-18	9.580181503721118e-18	3.450429898533002e-17
3273.7990661023546	6.018040670572294e-18	6.018040670572294e-18	3.450586988640001e-17
3273.9971003314377	2.9944820230491984e-18	2.9944820230491984e-18	3.510394448184e-17
3274.195134550618	1.191642020616621e-19	1.191642020616621e-19	3.423053477555002e-17
3274.393168779701	1.1916110291073016e-19	1.1916110291073016e-19	3.473469516290001e-17
3274.5912029988817	3.961468717853171e-20	3.961468717853171e-20	3.387778674903e-17
3274.789237227965	3.9613658130896976e-20	3.9613658130896976e-20	3.538560617856e-17
3274.9872714471453	1.1915181701596306e-19	1.1915181701596306e-19	3.496317050824e-17
3275.185305676229	1.191487255670723e-19	1.191487255670723e-19	3.468998959465e-17
3275.3833398954093	-3.1123292624798188e-18	-3.1123292624798188e-18	3.505318184394e-17
3275.5813741244924	-1.0085708685021715e-17	-1.0085708685021715e-17	3.405867313159999e-17
3275.7794083535755	-1.0085447474463674e-17	-1.0085447474463674e-17	3.499355392624001e-17
3275.977442572756	-3.1120874493488946e-18	-3.1120874493488946e-18	3.405541126880001e-17
3276.175476801839	-5.980858837689187e-18	-5.980858837689187e-18	3.477105104591999e-17
3276.37351102102	-1.0084664817871552e-17	-1.0084664817871552e-17	3.344139347230001e-17
3276.571545250103	-1.0084404257083476e-17	-1.0084404257083476e-17	3.322870634613e-17
3276.7695794692836	-1.0084143858549954e-17	-1.0084143858549954e-17	3.403840962528001e-17
3276.967613698367	-5.98024092838834e-18	-5.98024092838834e-18	3.49126947798e-17
3277.1666380912675	-3.111604775026864e-18	-3.111604775026864e-18	3.516705752308999e-17
3277.364672320351	2.993163482969801e-18	2.993163482969801e-18	3.49580715738e-17
3277.562706549434	2.9930863784353107e-18	2.9930863784353107e-18	3.486738262536e-17
3277.7607407686146	2.9930093219442003e-18	2.9930093219442003e-18	3.537085059456001e-17
3277.9587749976977	5.807065538944763e-18	5.807065538944763e-18	3.648882774544e-17
3278.156809216878	2.992855352979652e-18	2.992855352979652e-18	3.409060823294e-17
3278.3548434459613	2.9927784404575524e-18	2.9927784404575524e-18	3.410980177512001e-17
