# wave,flux
3.800028551240000070e+03,2.593465614980000001e-17
3.800226585519999844e+03,2.593422458340000177e-17
3.800424619800000073e+03,2.660669063580000239e-17
3.800622654079999847e+03,2.660624768930000259e-17
3.800820688350000182e+03,2.660580465170000043e-17
3.801018722629999957e+03,2.660536152290000165e-17
3.801216756910000186e+03,2.660491830290000007e-17
3.801414791189999960e+03,2.593163331900000045e-17
3.801612825480000083e+03,2.593120113040000249e-17
3.801810859759999857e+03,2.593076885280000229e-17
3.802008894040000087e+03,2.660314451030000013e-17
3.802206928309999967e+03,2.592990403070000181e-17
3.802404962590000196e+03,2.592947148610000108e-17
3.802602996869999970e+03,2.592903885250000119e-17
3.802802021320000222e+03,2.592860396599999988e-17
3.803000055599999996e+03,2.592817115380000211e-17
3.803198089880000225e+03,2.600005005760000151e-17
3.803396124159999999e+03,2.599961585959999961e-17
3.803594158450000123e+03,2.599918157230000030e-17
3.803792192729999897e+03,2.599874719549999961e-17
3.803990227010000126e+03,2.587939326880000232e-17
3.804188261280000006e+03,2.525739613290000198e-17
3.804386295559999780e+03,2.587852804410000092e-17
3.804584329840000009e+03,2.525655151550000118e-17
3.804782364119999784e+03,2.599657397060000108e-17
3.804980398409999907e+03,2.659647754240000062e-17
3.805178432690000136e+03,2.732840554570000005e-17
3.805376466969999910e+03,2.732794814780000129e-17
3.805574501239999790e+03,2.659514212200000049e-17
3.805772535520000019e+03,2.732703306950000194e-17
3.805970569799999794e+03,2.659425138370000100e-17
3.806168604089999917e+03,2.622561225699999952e-17
3.806366638370000146e+03,2.599309215670000048e-17
3.806564672649999920e+03,2.599265652690000206e-17
3.806762706930000149e+03,2.525189990180000033e-17
3.806960741200000029e+03,2.599178499830000191e-17
3.807158775479999804e+03,2.599134909960000064e-17
3.807356809769999927e+03,2.599091311109999974e-17
3.807554844050000156e+03,2.525020579430000000e-17
3.807752878329999930e+03,2.496415973140000110e-17
3.807950912610000159e+03,2.427969197180000025e-17
3.808148946889999934e+03,2.496332157010000254e-17
3.808346981170000163e+03,2.496290236009999992e-17
3.808546005629999854e+03,2.524808407820000246e-17
3.808744039910000083e+03,2.524765989710000012e-17
3.808942074179999963e+03,2.524723562880000049e-17
3.809140108460000192e+03,2.496122256010000123e-17
3.809338142739999967e+03,2.427683469650000009e-17
3.809536177030000090e+03,2.427642646989999977e-17
3.809734211309999864e+03,2.427601815930000102e-17
3.809932245590000093e+03,2.427560976480000119e-17
3.810130279869999868e+03,2.427520128629999985e-17
3.810328314140000202e+03,2.495870341590000127e-17
3.810526348429999871e+03,2.495828325630000036e-17
3.810724382710000100e+03,2.598348538580000006e-17
3.810922416989999874e+03,2.621503876989999962e-17
3.811120451270000103e+03,2.732420121350000175e-17
3.811318485560000227e+03,2.621415547239999994e-17
3.811516519840000001e+03,2.621371368739999990e-17
3.811714554109999881e+03,2.732281975940000022e-17
3.811912588390000110e+03,2.904681891629999995e-17
3.812110622669999884e+03,2.732189831680000102e-17
3.812308656960000008e+03,2.732143745350000179e-17
3.812506691239999782e+03,2.732097649560000002e-17
3.812704725520000011e+03,2.904485891169999953e-17
3.812902759799999785e+03,2.904436865880000215e-17
3.813100794080000014e+03,2.731959305350000056e-17
3.813298828359999789e+03,2.620973353610000208e-17
3.813496862640000018e+03,2.620929084279999985e-17
3.813694896919999792e+03,2.731820875880000064e-17
3.813892931209999915e+03,2.731774713770000130e-17
3.814090965490000144e+03,2.731728542180000160e-17
3.814289989939999941e+03,2.731682130180000144e-17
3.814488024220000170e+03,2.620707379610000043e-17
3.814686058509999839e+03,2.620663055660000130e-17
3.814884092780000174e+03,2.549473103880000257e-17
3.815082127059999948e+03,2.549429965560000117e-17
3.815280161340000177e+03,2.549386818380000240e-17
